partner_x,partner_code_x,year,value,Global Name_x,Region Name_x,Intermediate Region Name_x,Region Name_y,Intermediate Region Name_y,ISO-alpha3 Code_y,reporter
Lithuania,LTU,2018,1353146.9,World,Europe,Northern Europe,Europe,Eastern Europe,BLR,Belarus
Poland,POL,2018,1313522.4,World,Europe,Eastern Europe,Europe,Eastern Europe,BLR,Belarus
Kazakhstan,KAZ,2018,939781.3999999999,World,Asia,Central Asia,Europe,Eastern Europe,BLR,Belarus
Brazil,BRA,2018,585370.6,World,Americas,South America,Europe,Eastern Europe,BLR,Belarus
China,CHN,2018,488725.20000000007,World,Asia,Eastern Asia,Europe,Eastern Europe,BLR,Belarus
Latvia,LVA,2018,488169.99999999994,World,Europe,Northern Europe,Europe,Eastern Europe,BLR,Belarus
India,IND,2018,299733.4,World,Asia,Southern Asia,Europe,Eastern Europe,BLR,Belarus
Azerbaijan,AZE,2018,299330.19999999995,World,Asia,Western Asia,Europe,Eastern Europe,BLR,Belarus
United States,USA,2018,251010.90000000002,World,Americas,Northern America,Europe,Eastern Europe,BLR,Belarus
Indonesia,IDN,2018,242868.30000000008,World,Asia,South-eastern Asia,Europe,Eastern Europe,BLR,Belarus
Turkey,TUR,2018,183371.09999999998,World,Asia,Western Asia,Europe,Eastern Europe,BLR,Belarus
Belgium,BEL,2018,178732.10000000003,World,Europe,Western Europe,Europe,Eastern Europe,BLR,Belarus
Uzbekistan,UZB,2018,173751.10000000003,World,Asia,Central Asia,Europe,Eastern Europe,BLR,Belarus
Germany,DEU,2018,90650473.7538768,World,Europe,Western Europe,Europe,Western Europe,BEL,Belgium
France,FRA,2018,73490275.30366148,World,Europe,Western Europe,Europe,Western Europe,BEL,Belgium
Netherlands,NLD,2018,63169642.578249395,World,Europe,Western Europe,Europe,Western Europe,BEL,Belgium
United Kingdom,GBR,2018,40812972.82518206,World,Europe,Northern Europe,Europe,Western Europe,BEL,Belgium
United States,USA,2018,27622295.745462,World,Americas,Northern America,Europe,Western Europe,BEL,Belgium
Italy,ITA,2018,26238309.638271403,World,Europe,Southern Europe,Europe,Western Europe,BEL,Belgium
Spain,ESP,2018,14810690.629024103,World,Europe,Southern Europe,Europe,Western Europe,BEL,Belgium
Poland,POL,2018,11668896.450251937,World,Europe,Eastern Europe,Europe,Western Europe,BEL,Belgium
India,IND,2018,9981038.342208188,World,Asia,Southern Asia,Europe,Western Europe,BEL,Belgium
China,CHN,2018,9591102.860164966,World,Asia,Eastern Asia,Europe,Western Europe,BEL,Belgium
Sweden,SWE,2018,8898115.279602712,World,Europe,Northern Europe,Europe,Western Europe,BEL,Belgium
Luxembourg,LUX,2018,8436780.409403915,World,Europe,Western Europe,Europe,Western Europe,BEL,Belgium
Turkey,TUR,2018,6898188.670164545,World,Asia,Western Asia,Europe,Western Europe,BEL,Belgium
Switzerland,CHE,2018,6123353.622679528,World,Europe,Western Europe,Europe,Western Europe,BEL,Belgium
Austria,AUT,2018,5300649.781641375,World,Europe,Western Europe,Europe,Western Europe,BEL,Belgium
Russian Federation,RUS,2018,4994085.187508758,World,Europe,Eastern Europe,Europe,Western Europe,BEL,Belgium
Brazil,BRA,2018,4832624.742608543,World,Americas,South America,Europe,Western Europe,BEL,Belgium
Czech Republic,CZE,2018,4798759.750982755,World,Europe,Eastern Europe,Europe,Western Europe,BEL,Belgium
